data Alimento = Alimento {
  nome_alimento :: String,
  kcal :: Float,
  proteinas :: Float,
  gorduras :: Float,
  carboidratos :: Float
} deriving (Show)


id  name  category/id  category/name  nutrients/kcal  nutrients/protein  nutrients/lipids  nutrients/carbohydrates
173  Ameixa, em calda, enlatada, drenada  3  Frutas e derivados  177  1  0.3  47.7
174  Atemóia, crua  3  Frutas e derivados  97  1  0.3  25.3
175  Banana, da terra, crua  3  Frutas e derivados  128  1.4  0.2  33.7
176  Banana, doce em barra  3  Frutas e derivados  280  2.2  0.1  75.7
177  Banana, figo, crua  3  Frutas e derivados  105  1.1  0.1  27.8
178  Banana, maçã, crua  3  Frutas e derivados  87  1.8  0.1  22.3
179  Banana, nanica, crua  3  Frutas e derivados  92  1.4  0.1  23.8
180  Banana, ouro, crua  3  Frutas e derivados  112  1.5  0.2  29.3
181  Banana, pacova, crua  3  Frutas e derivados  78  1.2  0.1  20.3
182  Banana, prata, crua  3  Frutas e derivados  98  1.3  0.1  26
183  Cacau, cru  3  Frutas e derivados  74  1  0.1  19.4
184  Cajá-Manga, cru  3  Frutas e derivados  46  1.3  0  11.4
185  Cajá, polpa, congelada  3  Frutas e derivados  26  0.6  0.2  6.4
186  Caju, cru  3  Frutas e derivados  43  1  0.3  10.3
187  Caju, polpa, congelada  3  Frutas e derivados  37  0.5  0.2  9.4
188  Caju, suco concentrado, envasado  3  Frutas e derivados  45  0.4  0.2  10.7
189  Caqui, chocolate, cru  3  Frutas e derivados  71  0.4  0.1  19.3
190  Carambola, crua  3  Frutas e derivados  46  0.9  0.2  11.5
191  Ciriguela, crua  3  Frutas e derivados  76  1.4  0.4  18.9
192  Cupuaçu, cru  3  Frutas e derivados  49  1.2  1  10.4
193  Cupuaçu, polpa, congelada  3  Frutas e derivados  49  0.8  0.6  11.4
194  Figo, cru  3  Frutas e derivados  41  1  0.2  10.2
195  Figo, enlatado, em calda  3  Frutas e derivados  184  0.6  0.2  50.3
196  Fruta-pão, crua  3  Frutas e derivados  67  1.1  0.2  17.2
197  Goiaba, branca, com casca, crua  3  Frutas e derivados  52  0.9  0.5  12.4
198  Goiaba, doce em pasta  3  Frutas e derivados  269  0.6  0  74.1
199  Goiaba, doce, cascão  3  Frutas e derivados  286  0.4  0.1  78.7
200  Goiaba, vermelha, com casca, crua  3  Frutas e derivados  54  1.1  0.4  13
201  Graviola, crua  3  Frutas e derivados  62  0.8  0.2  15.8
202  Graviola, polpa, congelada  3  Frutas e derivados  38  0.6  0.1  9.8
203  Jabuticaba, crua  3  Frutas e derivados  58  0.6  0.1  15.3
204  Jaca, crua  3  Frutas e derivados  88  1.4  0.3  22.5
205  Jambo, cru  3  Frutas e derivados  27  0.9  0.1  6.5
206  Jamelão, cru  3  Frutas e derivados  41  0.5  0.1  10.6
207  Kiwi, cru  3  Frutas e derivados  51  1.3  0.6  11.5
208  Laranja, baía, crua  3  Frutas e derivados  45  1  0.1  11.5
209  Laranja, baía, suco  3  Frutas e derivados  37  0.7  0  8.7
210  Laranja, da terra, crua  3  Frutas e derivados  51  1.1  0.2  12.9
211  Laranja, da terra, suco  3  Frutas e derivados  41  0.7  0.1  9.6
212  Laranja, lima, crua  3  Frutas e derivados  46  1.1  0.1  11.5
213  Laranja, lima, suco  3  Frutas e derivados  39  0.7  0.1  9.2
214  Laranja, pêra, crua  3  Frutas e derivados  37  1  0.1  8.9
215  Laranja, pêra, suco  3  Frutas e derivados  33  0.7  0.1  7.6
216  Laranja, valência, crua  3  Frutas e derivados  46  0.8  0.2  11.7
217  Laranja, valência, suco  3  Frutas e derivados  36  0.5  0.1  8.6
218  Limão, cravo, suco  3  Frutas e derivados  14  0.3  0  5.2
219  Limão, galego, suco  3  Frutas e derivados  22  0.6  0.1  7.3
220  Limão, tahiti, cru  3  Frutas e derivados  32  0.9  0.1  11.1
221  Maçã, Argentina, com casca, crua  3  Frutas e derivados  63  0.2  0.2  16.6
222  Maçã, Fuji, com casca, crua  3  Frutas e derivados  56  0.3  0  15.2
223  Macaúba, crua  3  Frutas e derivados  404  2.1  40.7  13.9
224   Mamão, doce em calda, drenado  3  Frutas e derivados  196  0.2  0.1  54
225  Mamão, Formosa, cru  3  Frutas e derivados  45  0.8  0.1  11.6
226  Mamão, Papaia, cru  3  Frutas e derivados  40  0.5  0.1  10.4
227   Mamão verde, doce em calda, drenado  3  Frutas e derivados  209  0.3  0.1  57.6
228  Manga, Haden, crua  3  Frutas e derivados  64  0.4  0.3  16.7
229  Manga, Palmer, crua  3  Frutas e derivados  72  0.4  0.2  19.4
230  Manga, polpa, congelada  3  Frutas e derivados  48  0.4  0.2  12.5
